E001, 01-MAR-24, 6.34
E002, 01-MAR-24, 2.84
E003, 01-MAR-24, 7.29
E004, 01-MAR-24, 6.13
E005, 01-MAR-24, 3.7
E006, 01-MAR-24, 6.18
E007, 01-MAR-24, 3.71
E008, 01-MAR-24, 7.81
E009, 01-MAR-24, 7.12
E010, 01-MAR-24, 2.14
E011, 01-MAR-24, 3.34
E012, 01-MAR-24, 3.28
E013, 01-MAR-24, 1.11
E014, 01-MAR-24, 1.23
E015, 01-MAR-24, 3.44
E016, 01-MAR-24, 1.45
E017, 01-MAR-24, 6.4
E018, 01-MAR-24, 7.33
E019, 01-MAR-24, 1.97
E020, 01-MAR-24, 2.92
E021, 01-MAR-24, 3.26
E022, 01-MAR-24, 3.65
E023, 01-MAR-24, 4.77
E024, 01-MAR-24, 3.58
E025, 01-MAR-24, 3.04
E026, 01-MAR-24, 3.79
E027, 01-MAR-24, 7.61
E028, 01-MAR-24, 5.24
E029, 01-MAR-24, 2.76
E030, 01-MAR-24, 2.19
E001, 02-MAR-24, 6.7
E002, 02-MAR-24, 6.3
E003, 02-MAR-24, 2.71
E004, 02-MAR-24, 3.96
E005, 02-MAR-24, 4.61
E006, 02-MAR-24, 1.92
E007, 02-MAR-24, 7.72
E008, 02-MAR-24, 1.21
E009, 02-MAR-24, 6.64
E010, 02-MAR-24, 2.36
E011, 02-MAR-24, 7.53
E012, 02-MAR-24, 2.32
E013, 02-MAR-24, 2.04
E014, 02-MAR-24, 6.01
E015, 02-MAR-24, 7.03
E016, 02-MAR-24, 3.53
E017, 02-MAR-24, 1.71
E018, 02-MAR-24, 7.3
E019, 02-MAR-24, 3.33
E020, 02-MAR-24, 2.37
E021, 02-MAR-24, 7.06
E022, 02-MAR-24, 1.57
E023, 02-MAR-24, 1.07
E024, 02-MAR-24, 3.78
E025, 02-MAR-24, 4.75
E026, 02-MAR-24, 2.89
E027, 02-MAR-24, 3.63
E028, 02-MAR-24, 1.33
E029, 02-MAR-24, 1.26
E030, 02-MAR-24, 3.41
E001, 03-MAR-24, 6.88
E002, 03-MAR-24, 4.85
E003, 03-MAR-24, 5.19
E004, 03-MAR-24, 3.39
E005, 03-MAR-24, 2.46
E006, 03-MAR-24, 4.51
E007, 03-MAR-24, 3.53
E008, 03-MAR-24, 6.54
E009, 03-MAR-24, 5.0
E010, 03-MAR-24, 7.27
E011, 03-MAR-24, 7.71
E012, 03-MAR-24, 6.06
E013, 03-MAR-24, 4.91
E014, 03-MAR-24, 7.61
E015, 03-MAR-24, 3.6
E016, 03-MAR-24, 1.39
E017, 03-MAR-24, 1.32
E018, 03-MAR-24, 3.13
E019, 03-MAR-24, 7.99
E020, 03-MAR-24, 6.3
E021, 03-MAR-24, 4.33
E022, 03-MAR-24, 4.21
E023, 03-MAR-24, 7.14
E024, 03-MAR-24, 4.72
E025, 03-MAR-24, 4.44
E026, 03-MAR-24, 1.18
E027, 03-MAR-24, 6.77
E028, 03-MAR-24, 6.13
E029, 03-MAR-24, 3.06
E030, 03-MAR-24, 6.64
E001, 04-MAR-24, 4.24
E002, 04-MAR-24, 1.38
E003, 04-MAR-24, 7.87
E004, 04-MAR-24, 1.75
E005, 04-MAR-24, 7.36
E006, 04-MAR-24, 4.47
E007, 04-MAR-24, 1.58
E008, 04-MAR-24, 2.21
E009, 04-MAR-24, 5.91
E010, 04-MAR-24, 1.63
E011, 04-MAR-24, 2.1
E012, 04-MAR-24, 4.98
E013, 04-MAR-24, 7.96
E014, 04-MAR-24, 6.29
E015, 04-MAR-24, 5.17
E016, 04-MAR-24, 5.58
E017, 04-MAR-24, 4.9
E018, 04-MAR-24, 3.13
E019, 04-MAR-24, 7.98
E020, 04-MAR-24, 2.4
E021, 04-MAR-24, 2.27
E022, 04-MAR-24, 3.78
E023, 04-MAR-24, 2.61
E024, 04-MAR-24, 6.98
E025, 04-MAR-24, 3.71
E026, 04-MAR-24, 4.43
E027, 04-MAR-24, 7.44
E028, 04-MAR-24, 3.68
E029, 04-MAR-24, 6.89
E030, 04-MAR-24, 1.8
E001, 05-MAR-24, 1.76
E002, 05-MAR-24, 7.23
E003, 05-MAR-24, 5.84
E004, 05-MAR-24, 6.39
E005, 05-MAR-24, 2.52
E006, 05-MAR-24, 5.06
E007, 05-MAR-24, 1.96
E008, 05-MAR-24, 7.24
E009, 05-MAR-24, 2.14
E010, 05-MAR-24, 1.04
E011, 05-MAR-24, 7.02
E012, 05-MAR-24, 2.07
E013, 05-MAR-24, 6.44
E014, 05-MAR-24, 2.31
E015, 05-MAR-24, 4.49
E016, 05-MAR-24, 7.01
E017, 05-MAR-24, 2.95
E018, 05-MAR-24, 3.34
E019, 05-MAR-24, 6.57
E020, 05-MAR-24, 7.77
E021, 05-MAR-24, 6.32
E022, 05-MAR-24, 1.68
E023, 05-MAR-24, 1.63
E024, 05-MAR-24, 7.68
E025, 05-MAR-24, 1.45
E026, 05-MAR-24, 6.48
E027, 05-MAR-24, 4.5
E028, 05-MAR-24, 1.27
E029, 05-MAR-24, 5.36
E030, 05-MAR-24, 3.59
E001, 06-MAR-24, 6.03
E002, 06-MAR-24, 2.06
E003, 06-MAR-24, 1.48
E004, 06-MAR-24, 3.64
E005, 06-MAR-24, 7.06
E006, 06-MAR-24, 7.35
E007, 06-MAR-24, 7.03
E008, 06-MAR-24, 4.53
E009, 06-MAR-24, 5.91
E010, 06-MAR-24, 7.48
E011, 06-MAR-24, 6.68
E012, 06-MAR-24, 2.09
E013, 06-MAR-24, 3.21
E014, 06-MAR-24, 3.23
E015, 06-MAR-24, 4.56
E016, 06-MAR-24, 2.5
E017, 06-MAR-24, 7.86
E018, 06-MAR-24, 3.19
E019, 06-MAR-24, 4.72
E020, 06-MAR-24, 3.7
E021, 06-MAR-24, 6.23
E022, 06-MAR-24, 7.27
E023, 06-MAR-24, 6.09
E024, 06-MAR-24, 3.55
E025, 06-MAR-24, 6.65
E026, 06-MAR-24, 2.34
E027, 06-MAR-24, 2.89
E028, 06-MAR-24, 5.07
E029, 06-MAR-24, 1.15
E030, 06-MAR-24, 2.42
E001, 07-MAR-24, 5.81
E002, 07-MAR-24, 4.35
E003, 07-MAR-24, 5.78
E004, 07-MAR-24, 7.61
E005, 07-MAR-24, 6.14
E006, 07-MAR-24, 6.32
E007, 07-MAR-24, 2.69
E008, 07-MAR-24, 6.82
E009, 07-MAR-24, 5.66
E010, 07-MAR-24, 6.94
E011, 07-MAR-24, 5.91
E012, 07-MAR-24, 5.79
E013, 07-MAR-24, 7.68
E014, 07-MAR-24, 6.13
E015, 07-MAR-24, 6.95
E016, 07-MAR-24, 2.17
E017, 07-MAR-24, 5.71
E018, 07-MAR-24, 5.89
E019, 07-MAR-24, 7.62
E020, 07-MAR-24, 6.66
E021, 07-MAR-24, 6.26
E022, 07-MAR-24, 3.46
E023, 07-MAR-24, 7.17
E024, 07-MAR-24, 1.14
E025, 07-MAR-24, 3.7
E026, 07-MAR-24, 7.14
E027, 07-MAR-24, 7.48
E028, 07-MAR-24, 7.41
E029, 07-MAR-24, 5.45
E030, 07-MAR-24, 1.07
E001, 08-MAR-24, 4.69
E002, 08-MAR-24, 6.4
E003, 08-MAR-24, 1.21
E004, 08-MAR-24, 1.14
E005, 08-MAR-24, 4.29
E006, 08-MAR-24, 1.83
E007, 08-MAR-24, 7.93
E008, 08-MAR-24, 1.5
E009, 08-MAR-24, 5.12
E010, 08-MAR-24, 7.13
E011, 08-MAR-24, 4.33
E012, 08-MAR-24, 1.43
E013, 08-MAR-24, 4.26
E014, 08-MAR-24, 2.18
E015, 08-MAR-24, 3.46
E016, 08-MAR-24, 6.07
E017, 08-MAR-24, 2.35
E018, 08-MAR-24, 6.39
E019, 08-MAR-24, 1.3
E020, 08-MAR-24, 7.08
E021, 08-MAR-24, 2.67
E022, 08-MAR-24, 3.11
E023, 08-MAR-24, 2.2
E024, 08-MAR-24, 4.74
E025, 08-MAR-24, 7.58
E026, 08-MAR-24, 1.73
E027, 08-MAR-24, 6.54
E028, 08-MAR-24, 7.36
E029, 08-MAR-24, 2.79
E030, 08-MAR-24, 2.3
E001, 09-MAR-24, 3.27
